iwn_id	iwn_category	english_id	english_category	english_synset_words	english_gloss	hindi_synset	hindi_gloss	tamil_synset	tamil_gloss	type_link
10008	NOUN	12171668	NOUN	clove	aromatic flower bud of a clove tree; yields a spice	लौंग,लवंग,लोंग,श्रीसंज्ञ,रुचिर,मादन,अमरकुसुम,सुपुष्प,पद्मा,वराल,वरालक,तोयधिप्रिय,त्रिदशपुष्प,चंदकपुष्प,चन्दकपुष्प,पद्मगुणा,तीक्ष्णपुष्प,पद्मालया,रुचिरा,त्रिदशपुत्र,श्रीपुष्प,श्रीप्रसून,बटुक,वटुक,दिव्य	एक झाड़ की कली जिसे सुखाकर मसाले और दवा के काम में लाते हैं|| लौंग के तेल का उपयोग दाँत दर्द में किया जाता है । 	கிராம்பு, லவங்கம்	மசாலாவாகவும் மருந்தாகவும் பயன்படக்கூடிய கரியநிற மொட்டு||  கிராம்பு தைலம் பல்வலிக்குப் பயன்படுகிறது 	Direct
10009	NOUN	7345402	NOUN	return, coming_back	the occurrence of a change in direction back in the opposite direction	null	null	திரும்புதல்	புறப்பட்ட இடத்திற்கோ பழைய நிலைக்கு வருதல்||  இன்று சியாம் கிராமத்திற்கு மீண்டும் திரும்புதல் காரணம் உறவினர்கள் அனைவரும் மகிழ்ச்சியுடன் இருந்தனர் 	Direct
1001	NOUN	11283600	NOUN	east_wind, easter, easterly	a wind from the east	पुरवाई,पुरवा,पुरुआ,पुरवैया,पुरबिया हवा,पूर्व पवन,पूर्वानिल	पूरब से चलने या आनेवाली वायु|| बाग में युवा दंपति पुरवाई का आनंद ले रहे थे । 	கிழக்குகாற்று.	கிழக்கு திசையிலிருந்து வீசும் காற்று.||  தோட்டத்தில் புது தம்பதிகள் கிழக்கு காற்றில் உலாவிக் கொண்டிருக்கிறார்கள் 	Direct
10012	NOUN	11352914	NOUN	thunderbolt, bolt, bolt_of_lightning	a discharge of lightning accompanied by thunder	वज्रपात,वज्राघात,विद्युत्पात,विद्युत पात	आकाश में बिजली चमकने और बादल गरजने के बाद बिजली के पृथ्वी पर गिरने की क्रिया|| कल हुए वज्रपात में दो व्यक्ति घायल हो गए । 	இடி	மழை பெய்யும்போதோ மழைவருவதற்கு அறிகுறியாகவோ சில சமயம் வானத்தில் கேட்கும் மின்னலுடன் கூடிய பேரொலி||  நேற்று இடி விழுந்ததால் இருவர் காயமடைந்தனர் 	Direct
10016	NOUN	10008464	NOUN	hangman	an executioner who hangs the condemned person	जल्लाद,वधिक,वधक	वह जो प्राणदंड पानेवालों का वध करता हो|| जल्लाद ने मृत्युदंड की सजा पाये व्यक्ति को फाँसी पर झूला दिया । 	தூக்கிலேற்றுபவன்	உயிர் போகும் தண்டனையைக் நிறைவேற்றும் நபர்||  தூக்கிலேற்றுபவன் மரணதண்டனைப் பெற்ற நபர்களை தூக்கிலேற்றினான் 	Direct
1002	NOUN	886223	NOUN	simulation	the act of imitating the behavior of some situation or some process by means of something suitably analogous (especially for the purpose of study or personnel training)	अनुकरण,अनुसरण,अनुगमन,नक़ल,नकल,अनुकार,अनुसार,अनुक्रिया,अनुगति,अनुगम,अनुवर्तन,अनुसृति,अनुहरण,अनुबंध,अनुबन्ध	देखा-देखी किया जानेवाला कार्य|| अच्छे लोगों की अच्छी आदतों का अनुकरण उचित है । 	பின்பற்றுதல், கடைபிடித்தல்	வகுக்கப்பட்ட அல்லது ஏற்றுக் கொள்ளப்பட்ட ஒரு கொள்கை திட்டம் முதலியவற்றை நடைமுறையில் தொடர்ந்து செயல்படுத்துதல் அல்லது மேற்கொள்ளுதல்.||  நாம் நல்லவர்களை பின்பற்றுதல் அவசியமானதாகும் 	Direct
62	NOUN	886223	NOUN	simulation	the act of imitating the behavior of some situation or some process by means of something suitably analogous (especially for the purpose of study or personnel training)	अंधानुकरण,भीड़ानुगमन	बिना सोचे समझे किसी बात या व्यक्ति का किया जाने वाला अनुकरण|| आज की युवा पीढ़ी पाश्चात्य सभ्यता का अंधानुकरण कर रही है । 	கண்மூடித்தனம்	யோசிக்காமல் செய்யும் அல்லது அறிந்துகொள்ளும் விசயம்||  இன்றுள்ள இளைஞர்கள் மேற்கத்திய நாகரிகத்தின் பண்பாட்டில் கண்மூடித்தனமாக சென்றுக் கொண்டிருக்கின்றனர் 	Hypernymy
10022	NOUN	6992708	NOUN	verbiage, verbalism	overabundance of words	शब्दजाल,शब्दाडंबर,शब्दाडम्बर,वाक्जाल	साधारण सी बात कहने के लिए बड़े-बड़े शब्दों और जटिल वाक्यों का प्रयोग|| नेताओं के वाक्जाल में भोली-भाली जनता फँस जाती है । 	வார்தைஜாலம்	மனத்தைப் கவரும் வகையில் அலங்காரமான வார்த்தைகளைப் பயன்படுத்திப் பேசும் அல்லது எழுதும் செயல்.||  தலைவர்களின் வார்த்தைஜாலத்தால் அப்பாவியான மக்கள் மாட்டிக் கொள்கின்றனர் 	Direct
10024	NOUN	9935937	NOUN	fiancee, bride-to-be	a woman who is engaged to be married	वाग्दत्ता	वह कन्या जिसके विवाह की बात किसी के साथ पक्की की जा चुकी हो|| वाग्दत्ताएँ विवाह की डोर में बँधकर अपने माता-पिता से दूर हो जाती हैं । 	வாக்கு_கொடுத்தல், வாக்களித்தல், உறுதி_கொடுத்தவன், பேச்சுறுதி_கொடுத்தல், பேச்சுறுதி_அளித்தல்	விவாக விசயமானது ஒருவடன்..................||  வாக்கு கொடுத்தவன் விவாகத்தில் ................... 	Direct
10025	NOUN	4012531	NOUN	reading_room	a room set aside for reading	वाचनालय	वह स्थान जहाँ बैठकर पाठकगण पुस्तकें, पत्रिकाएँ आदि पढ़ते हैं|| श्याम अपना अधिकतर समय वाचनालय में पुस्तकों के साथ गुजारता है । 	வாசகசாலை	படிப்பகம்.||  சியாம் தன்னுடைய அதிகமான நேரத்தை வாசகசாலை சென்று புத்தகங்களுடன் கழித்து விடுகிறான் 	Direct
10026	ADJECTIVE	2196478	ADJECTIVE	thoughtful, serious-minded	"acting with or showing thought and good sense; ""a sensible young man"""	विचारशील,विचारवान,दीर्घदर्शी,विचारवान्,बुद्धिजीवी	जिसमें अच्छी तरह विचार करने की शक्ति हो|| चाणक्य एक विचारशील व्यक्ति था । 	சிந்திக்கும்திறனுடைய	மனிதனுக்கு மட்டும் உரியதாக்க் கருதப்படும் அறிவைப் பயன்படுத்திப் பகுத்து பார்க்கும் திறனுடைய.||  சானக்கியர் ஒரு சிந்தனைத்திறனுடைய மனிதனாக இருந்தார் 	Direct
10027	NOUN	7042854	NOUN	argument, argumentation, debate	"a discussion in which reasons are advanced for and against some proposition or proposal; ""the argument over foreign aid goes on and on"""	वाद-प्रतिवाद,वादप्रतिवाद	शास्त्रीय विषयों में परस्पर होने वाला वाद-विवाद|| अष्टावक्र ने राजा जनक की सभा में उपस्थित बड़े-बड़े विद्वानों से वाद-प्रतिवाद किया । 	வாக்குவாதம்	ஒரு விஷயம் குறித்து வெவ்வேறு நிலையில் இருப்பவர்கள் தாங்கள் சரி என்று கருதியதை வலியுறுத்திப் பேசும் காரசாரமான பேச்சு.||  அப்ஷ்டாவக்ர ராஜா ஜனகரின் சபையில் வீற்றிருந்த பெரியப்பரிய வித்வான்களுடன் வாக்குவாதம் செய்தனர் 	Direct
5947	NOUN	7042854	NOUN	argument, argumentation, debate	"a discussion in which reasons are advanced for and against some proposition or proposal; ""the argument over foreign aid goes on and on"""	वाद-विवाद,वाद विवाद,तर्क-वितर्क,तर्क वितर्क,बहस,तर्क,तर्कानुतर्क,सवाल-जवाब,उत्तर-प्रत्युत्तर,वाद,अध्याहार,बहस मुबाहसा	किसी पक्ष के द्वारा तर्क, युक्ति आदि के साथ खंडन और मंडन में होने वाली बातचीत|| ज़्यादा वाद-विवाद में पड़ने से बना-बनाया काम बिगड़ जाता है । 	வாத-விவாதம், வாக்குவாதம், தர்கம், வாய்சண்டை	செய்திகளை பரிமாறிக்கொள்ளும்போது பிறருடைய தர்கக்கருத்துக்களை வெளிப்படுத்துதல்||  அங்கே ஒவ்வொரு  விஷயத்திற்கும் வாத-விவாதம் நடக்கிறது 	Direct
10030	ADJECTIVE	170216	ADJECTIVE	eloquent, facile, fluent, silver, silver-tongued, smooth-spoken	"expressing yourself readily, clearly, effectively; ""able to dazzle with his facile tongue""; ""silver speech"""	वाक्पटु	बातें करने में चतुर|| वाक्पटु रमेश अपनी बातों से सबको प्रभावित कर देता है । 	பேச்சித்திறன்கொண்ட	நன்றாக பேசும் திறமை||  ரமேஷ் தன்னுடைய பேச்சுத்திறன்கொண்டதால் அனைவரையும் வியப்படையச் செய்தான் 	Direct
10031	NOUN	10116452	NOUN	logician, logistician	a person skilled at symbolic logic	तर्की,वादक	वह जो तर्क या शास्त्रार्थ करता हो|| तर्की के सटीक तर्क को सुनकर सबने अपनी हार मान ली । 	வாதிப்பவன், தர்க்கம்_புரிபவன், வாதாடுபவன், வாதம்_புரிபவன், வழக்காடுபவன், வழக்குரைப்பவன், தர்க்கவாதி	தர்க்கம் புரியும் ஒருவன்||  வாதிப்பவனின் தர்க்கத்தை கேட்டு அனைவரும் தன்னுடைய தோல்வியினால் ஓடிக் கொண்டான் 	Direct
1293	NOUN	10116452	NOUN	logician, logistician	a person skilled at symbolic logic	तर्कशास्त्री,तर्क-शास्त्री,तार्किक,तर्क वेत्ता,हैतुक,वादिक	वह जो तर्कशास्त्र का ज्ञाता हो|| वह एक कुशल तर्कशास्त्री है । 	தர்க்கசாஸ்திரி	தர்க்க சாஸ்திரம் அறிந்தவர்||  அவன் ஒரு திறமையான தர்க்கசாஸ்திரியாக இருக்கிறான் 	Direct
10032	NOUN	10281859	NOUN	plaintiff, complainant	a person who brings an action in a court of law	वादी,फरियादी,मुद्दई,अभियोक्ता,अभियोगकर्ता,अभियोगकर्त्ता,अभियोगी,अर्थी	वह जो न्यायालय में कोई तर्क या पक्ष उपस्थित करता है|| वादी ने अपना पक्ष मज़बूत करने के लिए कई सबूत इकट्ठे किए । 	குற்றவாளி	விசாரணைக்குப் பிறகு நீதி மன்றத்தில் குற்றம் நிரூபிக்கப்பட்ட நபர்.||  குற்றவாளி எப்போதும் தண்டனையிலிருந்து தப்பிக்க முடியாது 	Direct
10033	ADJECTIVE	1433501	ADJECTIVE	aerial	"in or belonging to the air or operating (for or by means of aircraft or elevated cables) in the air; ""aerial particles""; ""small aerial creatures such as butterflies""; ""aerial warfare""; ""aerial photography""; ""aerial cable cars"""	वायव्य	वायु से संबंधित|| वायव्य सूचना से पता चला है कि आज समुद्र में तूफ़ान आनेवाला है । 	வானில்_காற்றூடான, காற்றைச்_சார்ந்த	காற்றின் மூலம் இயக்குவிக்கப்படுகிற||  விண்வெளிக்கு செல்கிறவர்கள் வானில் காற்றூடான கருவியின் உதவியால் செல்கின்றனர். 	Direct
26661	ADJECTIVE	1433501	ADJECTIVE	aerial	"in or belonging to the air or operating (for or by means of aircraft or elevated cables) in the air; ""aerial particles""; ""small aerial creatures such as butterflies""; ""aerial warfare""; ""aerial photography""; ""aerial cable cars"""	हवाई,वायवीय,वायविक,वायव	हवा का या हवा से संबंधित या हवा में होनेवाला|| मुझे हवाई यात्रा का आनन्द लेना है ।  /  बरगद में भी हवाई जड़ें पाई जाती हैं । 	ஆகாயவழி, ஆகாயமார்க, வான்வெளி	காற்றோடு தொடர்புடைய||  எனக்கு ஆகாயவழிப் பயணம் ஆனந்தத்தைக் கொடுக்கிறது 	Direct
10035	NOUN	6043371	NOUN	architecture	"the discipline dealing with the principles of design and construction and ornamentation of fine buildings; ""architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use"""	वास्तुकला,वास्तु कला,स्थापत्यकला,स्थापत्य कला,वास्तुशिल्प,निर्माणकला	वास्तु या मकान,महल आदि बनाने की कला|| आगरे के ताजमहल की वास्तुकला देखते ही बनती है । 	கட்டடக்கலை, கட்டிடக்கலை	கட்டடங்களை வடிவமைத்து நிர்மானிக்கும் தொழில்நுட்பக்கலை||  ஆக்ராவில் தாஜ்மஹாலின் கட்டிடக்கலை மிகவும் அழகாக இருக்கின்றது 	Direct
10107	NOUN	6043371	NOUN	architecture	"the discipline dealing with the principles of design and construction and ornamentation of fine buildings; ""architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use"""	शिल्पविद्या	हाथ से वस्तुएँ बनाकर तैयार करने की विद्या|| बढ़ई,कुम्हार आदि शिल्पविद्या में निपुण होते हैं । 	கட்டிடக்_கலை	கட்டிடத்தின் அமைப்பு மற்றும் வடிவ தோற்றத்தை தீர்மானித்தல்||  அந்த வீட்டின் கட்டிடக் கலை அமைப்பு அழகு பொருந்தி உள்ளது. 	Direct
6518	NOUN	6043371	NOUN	architecture	"the discipline dealing with the principles of design and construction and ornamentation of fine buildings; ""architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use"""	वास्तुशास्त्र,स्थापत्य	वह शास्त्र जिसमें मकान,पुल आदि निर्माण करने की कला का विवेचन होता है|| वास्तुकला में निपुण होने के लिए वह वास्तुशास्त्र का अध्ययन करता है । 	கட்டிடக்கலை	கட்டடங்களை வடிவமைத்து நிர்மாணிக்கும் தொழில்நுட்பக்கலை.||  கட்டிடக்கலையில் நிபுணனாவதற்காக வாஸ்துசாஸ்திரத்தை பயின்றான் . 	Direct
30463	NOUN	6043371	NOUN	architecture	"the discipline dealing with the principles of design and construction and ornamentation of fine buildings; ""architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use"""	शिल्प शास्त्र,शिल्प विज्ञान,शिल्पशास्त्र	वह शास्त्र जिसमें शिल्प संबंधी जानकारी दी गई हो|| इस महल का निर्माण प्राचीन शिल्पशास्त्र में दिए गए सिद्धांतों के आधार पर किया गया है । 	கட்டிடக்கலை	கட்டிடம் தொடர்பான தகவல் கொடுக்கும் ஒரு கலை||  இந்த மாளிகையின் அமைப்பு பழங்காலக் கட்டிடக்கலையில் கொடுக்கப்பட்ட கோட்பாட்டின் அடிப்படையில் கட்டப்பட்டது 	Direct
10039	NOUN	7008687	NOUN	irony	a trope that involves incongruity between what is expected and what occurs	विडंबना,विडम्बना	अपेक्षित और घटित के बीच होने वाली असंगति|| यह कैसी विडंबना है कि कल का लखपति आज सड़क पर भीख माँग रहा है । 	ஏமாற்றம்	எதிர்பார்ப்பது நிறைவேறாததால் ஏற்படும் மனக்குறை.||   லட்சாபதிகளுக்கு பிறரை ஏமாற்றம் செய்வது மிகவும் சாதாரண விஷயமாகிவிட்டது 	Direct
10041	NOUN	3609271	NOUN	laxative	a mild cathartic	विरेचन,रेचन,जुलाब,रेच्य	दस्त लाने वाली दवा|| जमालगोटा एक अच्छा विरेचन है । 	பேதிமருந்து	வயிற்றுப்போக்கு ஏற்படுத்தும் மருந்து.||  ஒவ்வொருவரும் உடல் ஆரோக்கியத்திற்காக மாதம் ஒரு முறை பேதிமருந்து அருந்த வேண்டும் 	Direct
10042	NOUN	9784133	NOUN	clown, buffoon, merry_andrew	a person who amuses others by ridiculous behavior	विदूषक	प्रायः नाटकों में हँसानेवाला एक पात्र जो नायक का अंतरंग मित्र या सखा होता है|| विदूषक के प्रवेश करते ही रंगमंच की रौनक दोगुनी हो जाती है । 	கோமாளி	நாடகத்தில் உடையால், பேச்சால், அங்க அசைவுகளால் சிரிக்க வைப்பவன்||  கோமாளி மேடைக்கு வரும் சமயம் கைத்தட்டல் பலமானது  	Direct
10043	NOUN	11284676	NOUN	electrical_power, electric_power, wattage	the product of voltage and current	विद्युत्शक्ति	विद्युत या बिजली की शक्ति|| औद्योगीकरण के मूल में विद्युत्शक्ति ही है । 	மின்சாரம்	||  விளக்குகளை ஒளிரச் செய்தல், இயந்திரங்களை இயக்குதல் முதலியவற்றுக்குப் பயன்படும் மின்னணுக்களின் ஓட்டத்தால் கிடைக்கும் சக்தி தொழிற்சாலைகள் மின்சாரம் மூலமாக மட்டுமே இயங்குகிறது 	Direct
10044	NOUN	4856651	NOUN	stateliness	"a elaborate manner of doing something; ""she served coffee with great stateliness"""	एकान्तर,एकांतर,एकान्तरिक,एकांतरिक	एक के बाद एक या एक को छोड़कर उसके बाद वाले स्थान पर आने या पड़नेवाला|| १, ३, ५, ७, ९, आदि एकांतर संख्यायें हैं । 	வரிசை, நிரல், அணி, ஆவளி, சிரேணி	ஏதாவது ஒரு பொருள் வைக்குமிடம் அல்லது சரியான வரிசையில் இருக்கும் நிலை||  மேசை மீது வைக்கப்பட்ட பூச்செண்டுவில் வரிசை  மிக அழகாக இருக்கிறது 	Direct
10045	NOUN	14283606	NOUN	catastrophe, disaster	"a state of extreme (usually irremediable) ruin and misfortune; ""lack of funds has resulted in a catastrophe for our school system""; ""his policies were a disaster"""	संकट काल,विपत्काल,आपत्काल,आपातकाल,आपत्तिकाल,संकट-काल,आपत्ति-काल,आपत,आफ़त,आफत,इमरजेंसी,इमर्जेंसी	संकट या विपत्ति का समय|| हितैषियों की परख संकट काल में ही होती है । 	சங்கடம்	ஒரு நிகழ்ச்சியால் மனதில் ஏற்படும் நெருடல் உணர்வு.||  நன்மை விரும்புகிற குணம் சங்கடம் நிறைந்ததாக இருக்கும் 	Direct
10046	NOUN	6227801	NOUN	case, grammatical_case	nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence	विभक्ति	शब्द के आगे लगा हुआ वह प्रत्यय अथवा चिन्ह जिससे यह पता लगता है कि उस शब्द का क्रिया पद से क्या संबंध है|| ने,को,का,के लिए,से आदि विभक्ति कहलाते हैं । 	வேற்றுமை	பெயரை வேறுபடுத்திக் காட்டுவது||  ஐ, ஆல், கு, இன், அது, கண் முதலியவற்றை வேற்றுமையாகக் கூறுகிறோம் 	Direct
8631	NOUN	6227801	NOUN	case, grammatical_case	nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence	कारक	व्याकरण में संज्ञा या सर्वनाम की वह अवस्था जिसके द्वारा किसी वाक्य में उसका क्रिया के साथ संबंध प्रकट होता है|| हिंदी में आठ कारक होते हैं । 	வேற்றுமை_உருபு	இலக்கணத்தில் பெயர்ச்சொல் அல்லது பிரதிபெயர்ச்சொல்லில் ஒரு வாக்கியத்தில் அதன் செயலோடுள்ள தொடர்பை வெளிப்படுத்தும் நிலை||  இந்தியில் எட்டு வேற்றுமை உருபுகள் இருக்கின்றன 	Direct
10047	ADJECTIVE	670237	ADJECTIVE	cathartic, evacuant, purgative	strongly laxative	विरेचक,रेचक,दस्तावर	जिसके खाने या पीने से दस्त आए|| उसने क़ब्ज़ के रोगी को विरेचक दवा पिलाई । 	பேதிஉண்டாதலான	மலம் இளகிப் போதல்,வயிற்றுப்போக்கு உண்டாதலான||  டாக்டர் மலச்சிக்கல் இருக்கும் நோயாளிக்கு பேதிஉண்டாதலான மருந்துக் கொடுத்தார் 	Direct
10048	ADJECTIVE	1883440	ADJECTIVE	antagonistic, counter	indicating opposition or resistance	विरोधात्मक	जो विरोध के रूप में हो|| मंत्रीजी ने अपने भाषण में कुछ विरोधात्मक बातें भी कही । 	எதிர்ப்பான	எஏற்க்கவோ ஒத்துப்போகவோ முடியாத ஒன்றிற்கு ஒருவர் தெரிவிக்கும் கண்டனம் அல்லது அது குறித்து மேற்கொள்ளும் எதிரான போக்கு||  மந்திரி அவர்களின் பேச்சில் எதிர்ப்பான கருத்துக்கள் வெளிப்பட்டது 	Direct
10049	NOUN	13673980	NOUN	contradiction	opposition between two conflicting forces or ideas	विरोधाभास	दो बातों में दिखाई देनेवाला विरोध|| व्यक्ति की बातों में विरोधाभास आते ही वह अविश्वसनीय बन जाता है । 	முரண்பாடு	ஒன்றுடன் அல்லது ஒருவருடன் முரண்படும் நிலை||  மனிதர்களுக்குள் கருத்துக்கள் தெரிவிக்கும் போது சில நேரம் அவர்களுக்குள் முரண்பாடு ஏற்படுகிறது 	Direct
1005	NOUN	4248585	NOUN	stamp	a block or die used to imprint a mark or design	मुहर,मोहर,मुद्रा,स्टैंप,स्टैम्प,सील,स्टांप,स्टाम्प,ठप्पा,छापा,नक़्श,नक्श,अंकक,इस्टाम	अक्षर, चिह्न, नाम आदि की छाप लेने या उन्हें दबाकर अंकित करने का ठप्पा|| प्रधानाचार्य ने अपने नाम की एक मुहर बनवाई । 	முத்திரை	அரசு, அமைப்பு முதலியவற்றைப் பிரதிநிதித்துவப்படுத்தும் குறியீடு||  தலைமை ஆசிரியர் தன் பெயருடன் முத்திரையையும் பதித்தார். 	Direct
